"Company_Name","Ticker","Sub_Sector","Market_Cap","Close_Price","PE_Ratio","5Y_Historical_Revenue_Growth","1Y_Forward_Revenue_Growth","Total_Revenue","PBT","Taxes_And_Other_Items","DII_Holding_Change_3M","FII_Holding_Change_3M","MF_Holding_Change_3M","Promoter_Holding_Change_3M","Percentage_Buy_Records","No_Of_Analysts_With_Buy_Reco","Percentage Upside"
"Artson Engineering Ltd","ARTSONEN","Construction & Engineering",293.905799,80.2,-58.43057634,10.19008522,0.0,173.51,-4.37,0.66,0.0,0.0,0.0,0.0,0.0,0,0.0
"Focus Lighting and Fixtures Ltd","FOCUS","Home Electronics & Appliances",293.1178064,311.75,64.28022069,6.114201345,0.0,106.6,5.95,1.39,0.0,0.0,0.0,0.0,0.0,0,0.0
"Ashima Ltd","ASHIMASYN","Textiles",292.120602,15.15,16.30137288,-0.012201074,0.0,245.79,17.92,0.0,0.000104351,0.0,0.0,0.0,0.0,0,0.0
"Shilchar Technologies Ltd","SHILCTECH","Electronic Equipments",291.8311805,765.05,20.78569662,10.26399789,0.0,183.53,19.12,5.08,-0.564430692,0.538207374,0.0,0.0,0.0,0,0.0
"Ginni Filaments Ltd","GINNIFILA","Textiles",291.4778086,33.45,6.028496559,7.244858632,0.0,1095.23,74.36,26.01,-0.004331579,-0.108426071,0.0,0.0,0.0,0,0.0
"Mold-Tek Technologies Ltd","MOLDTECH","Construction & Engineering",291.443819,103.3,21.9130691,8.257430174,0.0,101.2,17.98,4.68,0.0,0.158356733,0.0,0.535716252,0.0,0,0.0
"Amal Ltd","AMAL","Commodity Chemicals",290.8365658,303.55,262.0149241,11.16926149,0.0,43.79,1.62,0.51,0.0,0.0,0.0,0.0,0.0,0,0.0
"Jaykay Enterprises Ltd","JAYKAY","Investment Banking & Brokerage",290.5145716,57.2,537.9899474,17.61186786,0.0,14.83,1.77,1.23,-0.262476744,-9.76e-05,-0.000180626,4.990000363,0.0,0,0.0
"Sinclairs Hotels Ltd","SINCLAIR","Hotels, Resorts & Cruise Lines",288.7168592,107.1,40.55012067,-6.963467932,0.0,34.33,9.34,2.22,6.94e-06,0.0,0.0,1.577828435,0.0,0,0.0
"Bambino Agro Industries Ltd","BAMBINO","FMCG - Foods",288.2796888,360.7,32.53721093,4.381469059,0.0,257.64,13.03,4.17,0.0,0.0,0.0,0.0,0.0,0,0.0
"McLeod Russel India Ltd","MCLEODRUSS","Tea & Coffee",287.6170153,27.55,-1.589659069,-7.840609034,0.0,1365.92,-162.18,18.75,0.104191503,2.005565324,0.0,0.0,0.0,0,0.0
"Adhbhut Infrastructure Ltd","ADHBHUTIN","Real Estate",287.2716558,261.3,-271.010996,51.45665526,0.0,2.63,-1.06,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
"Mirae Asset Nifty 50 ETF","MAN50ETF","Equity",286.8349626,194.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
"Ducon Infratechnologies Ltd","DUCON","IT Services & Consulting",285.7769955,10.9,64.21954955,-0.726169935,0.0,384.77,6.29,1.84,0.001586902,0.0,0.0,0.0,0.0,0,0.0
"Ponni Sugars (Erode) Ltd","PONNIERODE","Sugar",284.8378933,331.45,9.738047634,3.218557534,0.0,295.32,35.97,6.72,-5.44e-08,0.138486864,-5.44e-08,-4.93e-05,0.0,0,0.0
"Globus Power Generation Ltd","GLOBUSCON","Power Generation",284.3201626,28.75,-155.3662091,0.0,0.0,0.0,-1.83,0.0,0.0,0.080850156,0.0,0.0,0.0,0,0.0
"Accuracy Shipping Ltd","ACCURACY","Logistics",284.2511606,188.9,15.68715015,32.73280295,0.0,826.09,26.79,8.67,-0.059776833,-0.023180128,0.0,-9.96e-05,0.0,0,0.0
"Foce India Ltd","FOCE","Precious Metals, Jewellery & Watches",283.6376588,580.0,30.56440289,106.2216912,0.0,187.23,11.48,2.2,0.0,0.0,0.0,0.0,0.0,0,0.0
"Khoday India Ltd","KHODAY","Alcoholic Beverages",283.4309156,87.05,-62.84499238,-7.559724801,0.0,137.1,-4.51,0.0,-0.003724272,0.0,-0.002660194,10.45733611,0.0,0,0.0
"Milkfood Ltd","MLKFOOD","FMCG - Foods",283.2573884,599.45,81.16257548,-3.884807263,0.0,319.35,2.31,-1.18,0.0,0.0,0.0,0.0,0.0,0,0.0
"Aban Offshore Ltd","ABAN","Oil & Gas - Equipment & Services",283.2075391,48.55,-0.130086556,-17.75001735,0.0,667.41,-2154.07,23.0,0.0,0.001127382,0.0,0.0,0.0,0,0.0
"A K Capital Services Ltd","AKCAPIT","Investment Banking & Brokerage",283.1159464,426.85,3.441302375,-0.965536327,0.0,322.89,108.64,26.37,0.0,0.0,0.0,0.0,0.0,0,0.0
"Kilburn Engineering Ltd","KLBRENG-B","Industrial Machinery",282.8899714,82.5,181.3397253,-2.802689978,0.0,124.4,3.04,1.48,-18.21905031,0.0,0.0,2.9147216,0.0,0,0.0
"High Energy Batteries (India) Ltd","HIGHENE","Aerospace & Defense Equipments",282.5637643,316.2,15.74171389,10.98399563,0.0,79.73,24.74,6.79,0.0,0.0,0.0,0.0,0.0,0,0.0
"Vijay Solvex Ltd","VIJSOLX","Agro Products",281.9878827,882.2,4.911825164,31.68422806,0.0,2726.73,76.21,18.8,0.0,0.0,0.0,0.0,0.0,0,0.0
"Emkay Taps and Cutting Tools Ltd","EMKAYTOOLS","Industrial Machinery",281.72232,277.2,7.992122553,9.180326479,0.0,85.73,43.99,8.74,0.0,0.0,0.0,0.0,0.0,0,0.0
"NXTDIGITAL Ltd","NXTDIGITAL","Movies & TV Serials",281.339677,87.75,-22.18767169,6.883043252,0.0,1152.19,-103.25,-90.57,0.041251355,-8.737696353,0.0,0.0,0.0,0,0.0
"Virtuoso Optoelectronics Ltd","VOEPL","",280.6144831,137.75,71.40317636,0.0,0.0,200.28,5.72,1.79,0.0,0.0,0.0,0.0,0.0,0,0.0
"Yaari Digital Integrated Services Ltd","YAARI","Business Support Services",280.6124928,28.45,-1.594389164,-3.389244427,0.0,204.62,-156.57,19.43,1.19e-05,0.206099444,0.0,-4.786882559,0.0,0,0.0
"DCM Nouvelle Ltd","DCMNVL","Textiles",280.3852415,150.2,2.286992182,0.0,0.0,917.63,164.13,41.53,-2.49223287,-0.051890621,0.0,0.0,0.0,0,0.0
"Megasoft Ltd","MEGASOFT","IT Services & Consulting",280.171725,37.15,60.51225163,21.58317889,0.0,206.65,5.25,0.62,0.0,0.000108445,0.0,0.0,0.0,0,0.0
"Sintercom India Ltd","SINTERCOM","Industrial Machinery",280.1114028,105.6,-72.94567781,-1.85517634,0.0,60.11,-4.56,-0.72,-0.025161746,0.0,0.0,1.125370358,0.0,0,0.0
"Reliance Capital Ltd","RELCAPITAL","Diversified Financials",279.8321821,11.15,-0.034480563,1.816387986,0.0,19301.32,-7907.8,207.85,-0.01299491,-0.005737043,-0.003688567,-0.629427297,100.0,1,0.0
"Panchmahal Steel Ltd","PANCHMAHQ","Iron & Steel",279.4388847,147.0,4.770209708,11.64134322,0.0,577.61,66.55,7.97,0.0,0.0,0.0,0.0,0.0,0,0.0
"Euro Panel Products Ltd","EUROBOND","Metals - Aluminium",279.1461345,116.75,21.21171235,22.78521866,0.0,217.46,17.22,4.06,0.0,0.0,0.0,0.0,0.0,0,0.0
"Ador Fontech Ltd","ADORFO","Industrial Machinery",278.7963274,79.5,13.0339564,7.479589329,0.0,214.05,29.66,8.27,0.0,0.0,0.0,0.0,0.0,0,0.0
"Mahindra EPC Irrigation Ltd","MAHEPC","Agricultural & Farm Machinery",278.3043245,99.85,-35.18385897,0.904446325,0.0,212.4,-10.52,-2.61,0.0,0.105301266,0.0,0.0,0.0,0,0.0
"Servotech Power Systems Ltd","SERVOTECH","Electrical Components & Equipments",278.2415067,156.6,76.23054978,10.04092292,0.0,134.26,5.05,1.4,0.0,0.001017925,0.0,-0.093756216,0.0,0,0.0
"Multibase India Ltd","MULTIBASE","Specialty Chemicals",277.8654405,215.5,43.89659407,-5.888013932,0.0,65.39,8.62,2.29,0.006980983,0.0,0.0,0.0,0.0,0,0.0
"Ansal Properties and Infrastructure Ltd","ANSALAPI","Real Estate",277.6665562,16.8,-3.392383094,-0.991346561,0.0,807.42,-115.17,-33.32,0.00663893,-0.42189862,0.0,0.0,0.0,0,0.0
"Pasupati Acrylon Ltd","PASUPTAC","Textiles",276.6058754,30.35,6.027584995,10.67968743,0.0,784.27,61.83,15.94,0.000100973,0.01664701,0.0,0.0,0.0,0,0.0
"Veljan Denison Ltd","VELJAN","Industrial Machinery",276.5975393,1230.0,16.39582332,4.646492381,0.0,100.32,23.2,6.33,0.0,0.0,0.0,0.0,0.0,0,0.0
"Arshiya Ltd","ARSHIYA","Logistics",276.4973053,11.0,0.652254736,16.20784341,0.0,736.77,424.2,0.29,0.0,-0.037871186,0.0,-1.906389308,0.0,0,0.0
"Nila Infrastructures Ltd","NILAINFRA","Real Estate",275.5705454,8.15,-138.477661,-14.03281784,0.0,94.23,1.76,3.75,0.0,-1.958185195,0.0,0.0,0.0,0,0.0
"Brooks Laboratories Ltd","BROOKS","Labs & Life Sciences Services",275.1611708,116.75,-17.00625283,9.792631961,0.0,91.99,-23.9,-7.72,0.0,0.0,0.0,0.0,0.0,0,0.0
"Fourth Dimension Solutions Ltd","4THDIM","IT Services & Consulting",274.7475023,84.6,6.998153396,-73.9838892,0.0,1.78,0.04,-39.22,0.0,0.0,0.0,0.0,0.0,0,0.0
"Insolation Energy Ltd","INA","",274.7268105,126.25,39.70040614,0.0,0.0,215.4,9.29,2.37,0.0,0.0,0.0,0.0,0.0,0,0.0
"Aarvi Encon Ltd","AARVI","Outsourced services",274.6831545,191.2,22.75751073,13.54291593,0.0,289.73,12.15,0.08,0.0,0.001217532,0.0,0.0,0.0,0,0.0
"Emami Realty Ltd","EMAMIREAL","Real Estate",274.4061619,72.25,18.24509055,16.44288257,0.0,241.69,17.34,2.3,0.083236688,0.041166488,0.0,0.0,0.0,0,0.0
"Asian Energy Services Ltd","ASIANENE","Oil & Gas - Exploration & Production",274.2589644,73.25,7.066708692,12.30282344,0.0,263.3,40.67,1.86,0.0,0.102635773,0.0,0.0,0.0,0,0.0
"J C T Ltd","JCTLTD","Textiles",274.2419438,3.19,28.47787578,0.685791205,0.0,848.93,9.63,0.0,-8.414963785,0.0,0.0,0.0,0.0,0,0.0
"Riddhi Siddhi Gluco Biols Ltd","RIDDHI","Commodities Trading",272.92037,373.0,19.05868505,-1.132078164,0.0,585.2,17.77,3.45,0.0,0.0,0.0,0.0,0.0,0,0.0
"Jenburkt Pharmaceuticals Ltd","JENBURPH","Pharmaceuticals",271.8855175,628.4,12.19764547,3.941423532,0.0,128.93,29.87,7.58,0.0,0.42055808,0.0,0.0,0.0,0,0.0
"U. P. Hotels Ltd","UPHOT","Hotels, Resorts & Cruise Lines",269.8512579,496.0,40.09676937,-3.833526116,0.0,74.68,8.89,2.16,0.650240741,0.0,0.0,0.0,0.0,0,0.0
"Cosmo Ferrites Ltd","COSMOFE","Electrical Components & Equipments",268.8426138,224.9,18.90595034,11.59898965,0.0,115.58,18.96,4.74,0.155361596,0.049875312,0.0,0.0,0.0,0,0.0
"Pradeep Metals Ltd","PRADPME","Iron & Steel",268.4868599,153.1,13.45124549,11.07124198,0.0,225.34,24.89,4.93,0.0,0.0,0.0,0.0,0.0,0,0.0
"Venus Remedies Ltd","VENUSREM","Pharmaceuticals",267.8604646,199.25,6.574876402,8.572502655,15.79016739,606.96,36.42,-4.32,0.150183422,0.175447154,0.000561084,0.0,100.0,1,41.02885822
"Rudrabhishek Enterprises Ltd","REPL","Real Estate",266.3207164,151.35,18.04340897,18.69163446,0.0,80.42,15.39,0.63,0.0,0.000115324,0.0,0.0,0.0,0,0.0
"SoftSol India Ltd","SOFTSOL","Software Services",266.237743,159.45,15.92330999,10.25830451,0.0,89.46,19.61,2.89,0.0,0.0,0.0,0.0,0.0,0,0.0
"Brand Concepts Ltd","BCONCEPTS","Retail - Department Stores",265.3232917,259.2,353.7643889,6.751240192,0.0,86.77,1.04,0.29,0.0,0.000283479,0.0,-3.378793892,0.0,0,0.0
"Shiv Aum Steels Ltd","SHIVAUM","Commodities Trading",265.2078,195.0,21.23361089,10.36204787,0.0,407.66,16.52,4.03,0.0,0.0,0.0,0.0,0.0,0,0.0
"Scooters India Ltd","SCOOTER","Three Wheelers",264.7253772,29.85,34.92419224,-23.6111747,0.0,26.19,7.58,0.0,-3.85180949,0.0,0.0,0.0,0.0,0,0.0
"Mangalam Worldwide Ltd","MWL","Iron & Steel",264.4615079,107.9,21.34475447,0.0,0.0,533.48,18.58,6.19,0.0,0.0,0.0,0.0,0.0,0,0.0
"SBC Exports Ltd","SBC","Apparel & Accessories",264.4042603,15.0,76.19719316,48.37980124,0.0,206.35,5.65,2.18,0.0,0.00033075,0.0,0.274953222,0.0,0,0.0
"Menon Pistons Ltd","MENNPIS","Auto Parts",263.015026,51.6,13.99760649,9.560818496,0.0,212.75,26.44,7.65,0.0,-0.003121569,0.0,0.0,0.0,0,0.0
"Kriti Nutrients Ltd","KRITINUT","Agro Products",262.6481906,52.45,21.33616496,10.49140931,0.0,756.23,16.83,4.52,0.0,0.0,0.0,0.0,0.0,0,0.0
"Jay Ushin Ltd","JAYUSH","Auto Parts",262.5446728,685.0,21.98866606,-3.60609853,0.0,668.92,16.19,4.25,0.0,0.0,0.0,4.380437314,0.0,0,0.0
"Hindusthan Urban Infrastructure Ltd","HUIL","Heavy Electrical Equipments",261.7754089,1840.0,-35.23222193,1.970419797,0.0,746.6,-8.6,-1.17,0.0,0.0,0.0,0.0,0.0,0,0.0
"Sejal Glass Ltd","SEJALLTD","Building Products - Glass",261.0925857,254.5,1.776623473,93.67654573,0.0,174.68,146.96,0.0,0.0,9.9e-05,0.0,0.0,0.0,0,0.0
"Harrisons Malayalam Ltd","HARRMALAYA","Agro Products",259.9856293,139.5,11.25966346,4.908557368,0.0,478.66,23.09,0.0,-0.000205902,0.157845357,0.0,0.0,0.0,0,0.0
"GRP Ltd","GRPLTD","Tires & Rubber",259.770083,1966.4,45.09897274,4.912579997,0.0,389.58,7.44,1.68,0.0,0.113100028,0.0,0.016650004,0.0,0,0.0
"STEL Holdings Ltd","STEL","Asset Management",259.0633674,140.45,17.73192111,22.38438199,0.0,20.07,19.43,4.82,-0.000205902,0.001305851,0.0,1.092796392,0.0,0,0.0
"SRG Housing Finance Ltd","SRGHFL","Consumer Finance",258.6874114,203.65,12.73067969,40.76144959,0.0,80.46,25.53,5.21,0.0,0.0,0.0,0.0,0.0,0,0.0
"Aksharchem (India) Ltd","AKSHARCHEM","Specialty Chemicals",258.6437198,320.5,16.27713781,8.165311868,0.0,380.99,17.93,2.04,0.0,-0.010942228,0.0,0.0,0.0,0,0.0
"Career Point Ltd","CAREERP","Education Services",257.6519278,146.85,11.23645564,-9.025331392,0.0,59.4,27.62,4.69,0.0,0.030484354,0.0,0.0,0.0,0,0.0
"Master Trust Ltd","MASTERTR","Diversified Financials",257.6334124,123.05,4.669809903,24.52728066,0.0,331.37,71.93,16.76,0.0,0.0,0.0,0.0,0.0,0,0.0
"Talbros Engineering Ltd","TALBROSENG","Auto Parts",257.2877008,512.3,11.63671193,16.86076205,0.0,352.24,29.24,7.13,0.0,0.0,0.0,0.009317436,0.0,0,0.0
"Mazda Ltd","MAZDA","Industrial Machinery",257.0393948,643.7,12.10166642,7.831046524,0.0,168.18,27.64,6.4,0.020749064,0.008714107,0.0,0.0,0.0,0,0.0
"Walchandnagar Industries Ltd","WALCHANNAG","Industrial Machinery",255.5005945,65.65,-6.711336868,-3.734185995,0.0,331.88,-38.07,0.0,0.005778797,-0.21489246,0.0,0.0,0.0,0,0.0
"Wonder Fibromats Ltd","WFL","Home Electronics & Appliances",254.6758346,194.4,35.07931606,19.18908292,0.0,398.45,9.89,2.63,0.0,0.746298728,0.0,0.0,0.0,0,0.0
"Titan Biotech Ltd","TITANBIO","Fertilizers & Agro Chemicals",253.5971257,302.6,9.941086855,23.74289246,0.0,153.83,38.19,12.68,0.0,0.0,0.0,0.0,0.0,0,0.0
"Bhartiya International Ltd","BIL","Apparel & Accessories",253.5243979,207.3,-15.33722915,2.286096696,0.0,725.68,-11.1,5.43,0.0,-8.641687984,0.0,0.0,0.0,0,0.0
"Pioneer Distilleries Ltd","PIONDIST","Alcoholic Beverages",253.4997199,189.45,-3.522786546,13.68844885,0.0,214.71,-71.96,0.0,0.0,-0.746328857,0.0,0.0,0.0,0,0.0
"MIC Electronics Ltd","MICEL","Electrical Components & Equipments",253.4163795,11.35,85.32538031,-27.62934786,0.0,46.26,3.04,0.07,0.0,0.0,0.0,0.0,0.0,0,0.0
"Sakthi Sugars Ltd","SAKHTISUG","Sugar",253.008988,21.35,-1.684929329,-3.651948728,0.0,874.24,-150.12,0.04,0.001893158,0.033890052,0.0,0.0,0.0,0,0.0
"Kilitch Drugs (India) Ltd","KILITCH","Pharmaceuticals",252.9143685,158.9,24.01845854,30.23956749,24.95442946,109.72,13.93,3.4,0.0,0.000128351,0.0,0.0,100.0,1,59.84896161
"Maral Overseas Ltd","MARALOVER","Textiles",252.6444623,60.9,3.77250205,10.13315192,0.0,1104.74,92.46,25.49,0.0,-0.0468488,0.0,0.0,0.0,0,0.0
"Maan Aluminium Ltd","MAANALU","Metals - Aluminium",252.5047402,186.85,11.49316068,10.50539443,0.0,586.42,29.74,7.77,0.0,0.231783887,0.0,0.0,0.0,0,0.0
"Raj Television Network Ltd","RAJTV","TV Channels & Broadcasters",252.1598612,47.15,231.3393222,2.331513683,0.0,69.64,1.34,0.25,0.0,0.000597149,0.0,0.0,0.0,0,0.0
"Baid Finserv Ltd","BAIDFIN","Diversified Financials",252.004525,20.0,28.73483752,11.90536604,0.0,50.05,12.14,3.37,0.0,0.0,0.0,-0.001749005,0.0,0,0.0
"Super Sales India Ltd","SUPER","Conglomerates",249.9591099,820.95,5.190180854,12.59035595,0.0,428.89,65.73,17.57,0.0,0.0,0.0,0.0,0.0,0,0.0
"Ultracab (India) Ltd","ULTRACAB","Cables",249.869222,25.85,79.57618535,16.87561284,0.0,85.27,4.48,1.34,0.0,0.0,0.0,0.0,0.0,0,0.0
"Eco Recycling Ltd","ECORECO","Business Support Services",249.7008648,148.2,19.63057113,6.590015032,0.0,27.16,14.23,1.51,0.0,1.036443961,0.0,0.0,0.0,0,0.0
"Total Transport Systems Ltd","TOTAL","Logistics",248.4298154,170.95,26.88634366,23.88540815,0.0,583.65,13.5,4.26,0.0,0.069900741,0.0,0.031595135,0.0,0,0.0
"SPEL Semiconductor Ltd","SPELS","Electronic Equipments",247.9751593,53.7,-20.94384792,-15.01608959,0.0,17.0,-11.55,0.29,9.03e-09,0.0,4.04e-09,1.28e-05,0.0,0,0.0
"Modi Naturals Ltd","MODINATUR","Agro Products",247.8654757,195.95,26.50967654,10.16059934,0.0,475.61,12.94,3.59,0.642189084,0.0,0.0,0.0,0.0,0,0.0
"E2E Networks Ltd","E2E","Software Services",247.098951,172.95,38.30991489,12.08082416,0.0,52.23,5.28,-1.17,0.0,6.91e-05,0.0,0.0,0.0,0,0.0
"MK Exim (India) Ltd","MKEXIM","Textiles",246.3735388,91.6,18.51040863,18.48985991,0.0,74.25,17.84,4.53,0.0,0.167214759,0.0,0.015067908,0.0,0,0.0
"TPL Plastech Ltd","TPLPLASTEH","Plastic Products",245.9638896,31.4,18.49352553,4.867370407,0.0,228.74,17.78,4.48,0.0,0.005730549,0.0,0.0,0.0,0,0.0
"Videocon Industries Ltd","VIDEOIND","Home Electronics & Appliances",245.5079317,7.35,-0.032964129,-32.69914661,0.0,4773.37,-7624.34,-176.61,-0.570706339,-0.012555804,0.0,0.0,0.0,0,0.0
"Eimco Elecon India Ltd","EIMCOELECO","Industrial Machinery",245.1654368,421.0,28.2774437,-12.64007232,0.0,93.78,10.03,1.36,-8.67e-05,-0.023802156,0.0,0.0,0.0,0,0.0
"Megastar Foods Ltd","MEGASTAR","Packaged Foods & Meats",244.3057481,241.15,44.7446425,13.63703595,0.0,185.27,7.22,1.76,0.0,0.0001,0.0,0.0,0.0,0,0.0
"Cool Caps Industries Ltd","COOLCAPS","Plastic Products",243.7816275,211.0,68.28617016,0.0,0.0,54.22,4.94,1.37,0.0,0.0,0.0,0.0,0.0,0,0.0
"Solex Energy Ltd","SOLEX","Industrial Machinery",243.0660219,308.0,245.5212343,16.07616821,0.0,72.7,1.23,0.24,0.0,0.0,0.0,0.0,0.0,0,0.0
"Jaypee Infratech Ltd","JPINFRATEC","Construction & Engineering",242.9294592,1.75,-0.100656512,-1.346704805,0.0,1087.77,-2413.45,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
"SBI-ETF Nifty Bank","SETFNIFBK","Equity",242.8660972,431.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
"K M Sugar Mills Ltd","KMSUGAR","Sugar",242.7466468,26.35,5.854960124,9.855188491,0.0,558.25,55.93,14.47,0.0,0.041919488,0.0,-8.044167744,0.0,0,0.0
"Rudra Global Infra Products Ltd","RUDRA","Iron & Steel",242.6982884,94.45,28.78983255,5.833274404,0.0,350.96,8.23,-0.2,0.0,0.0,0.0,0.0,0.0,0,0.0
"Neelamalai Agro Industries Ltd","NEAGI","Agro Products",242.6663717,3889.0,7.466657592,8.658498266,0.0,65.04,33.68,1.18,0.0,0.0,0.0,1.186376921,0.0,0,0.0
"DIGJAM Ltd","DIGJAMLMTD","Textiles",240.6673441,120.4,203.9553763,-18.52440923,0.0,36.04,1.18,0.0,-2e-05,0.00018,0.0,0.0,0.0,0,0.0
"J L Morison (India) Ltd","JLMORI","FMCG - Personal Products",239.7111701,1708.0,39.10459545,8.778713087,0.0,118.51,7.95,1.82,0.0,0.0,0.0,0.0,0.0,0,0.0
"Inventure Growth & Securities Ltd","INVENTURE","Investment Banking & Brokerage",239.2681153,2.85,17.15183622,7.954877717,0.0,50.63,19.04,5.09,0.0,0.003119048,0.0,0.0,0.0,0,0.0
"Housing Development and Infrastructure Ltd","HDIL","Real Estate",239.2401507,5.05,-19.46624497,-68.96019594,0.0,2.15,-12.29,0.0,0.045988701,-0.528362082,0.0,2.561831836,0.0,0,0.0
"Abans Enterprises Ltd","ABANSENT","Commodities Trading",238.8280208,172.0,8.634418683,114.9490899,0.0,2896.31,30.04,2.38,0.0,-1.453586065,0.0,0.0,0.0,0,0.0
"Mahalaxmi Rubtech Ltd","MHLXMIRU","Textiles",238.6122588,219.4,32.77640918,-0.087821572,0.0,202.15,9.79,2.51,0.001176994,0.040902896,0.0,-0.027070862,0.0,0,0.0
"IL & FS Investment Managers Ltd","IVC","Asset Management",238.5334027,7.5,30.6598204,-12.99185896,0.0,57.43,15.26,7.48,0.000100308,0.00028341,0.0,0.0,0.0,0,0.0
"Kinetic Engineering Ltd","KINETICENG","Auto Parts",237.5919792,120.25,175.9940587,7.886039832,0.0,125.2,1.35,0.0,-0.000270091,0.001779115,-5.73e-05,0.742714571,0.0,0,0.0
"Alufluoride Ltd","ALUFLUOR","Commodity Chemicals",237.3381151,314.3,67.42560087,17.9926136,0.0,88.6,4.95,1.43,0.0,0.0,0.0,0.0,0.0,0,0.0
"Super House Ltd","SUPERHOUSE","Footwear",237.1272953,214.95,6.670247408,-0.418437185,0.0,663.14,42.46,6.91,0.0,9.07e-05,0.0,0.0,0.0,0,0.0
"Murudeshwar Ceramics Ltd","MURUDCERA","Building Products - Ceramics",236.7085684,41.05,110.0970086,3.206119346,0.0,124.34,3.72,1.57,0.0,0.037673805,0.0,0.0,0.0,0,0.0
"Bafna Pharmaceuticals Ltd","BAFNAPH","Pharmaceuticals",236.5512445,97.3,45.93228049,5.706778971,0.0,87.24,5.15,0.0,0.0,4.23e-05,0.0,-0.113419936,0.0,0,0.0
"ICICI Prudential Nifty Low Vol 30 ETF","ICICILOVOL","Equity",235.2400672,147.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
"MBL Infrastructures Ltd","MBLINFRA","Construction & Engineering",234.5210896,21.3,1675.15064,-35.42917275,0.0,260.47,-54.99,-55.13,0.0,-0.012802299,0.0,0.0,0.0,0,0.0
"Kanchi Karpooram Ltd","KANCHI","Commodity Chemicals",234.0718628,530.75,7.629460977,33.70047089,0.0,253.52,42.61,11.93,-0.042611566,0.0,0.0,0.261562733,0.0,0,0.0
"Arrow Greentech Ltd","ARROWGREEN","Packaging",233.9415098,174.45,-25.10102037,-9.227132471,0.0,35.35,-11.0,-1.68,0.0,0.00628197,0.0,0.0,0.0,0,0.0
"Shreyans Industries Ltd","SHREYANIND","Paper Products",233.782525,171.3,23.47214106,7.313333809,0.0,604.65,11.99,2.03,-0.017555725,0.134890467,0.0,0.0,0.0,0,0.0
"Gujarat Apollo Industries Ltd","GUJAPOLLO","Industrial Machinery",233.3933535,197.9,28.56711793,-5.306483716,0.0,81.46,13.76,5.59,0.0,8.47e-05,0.0,-0.641211864,0.0,0,0.0
"Sadbhav Engineering Ltd","SADBHAV","Construction & Engineering",233.2077438,13.95,-0.322248123,-9.485270073,0.0,2827.74,-734.94,-11.25,-0.878355175,-1.967539348,-0.878340021,-2.000796756,0.0,0,0.0
"Zee Learn Ltd","ZEELEARN","Education Services",233.0278533,7.1,-85.6720049,8.901591523,0.0,282.26,0.84,3.56,0.01641067,3.68e-05,0.0,0.0,0.0,0,0.0
"Manaksia Steels Ltd","MANAKSTEEL","Iron & Steel",232.8452034,35.85,6.590580339,13.03468237,0.0,619.16,48.94,13.61,0.0,0.06660507,0.0,0.0,0.0,0,0.0
"Krebs Biochemicals and Industries Ltd","KREBSBIO","Pharmaceuticals",232.2950759,108.6,-5.216597259,75.55282265,0.0,60.86,-44.53,0.0,-0.002421084,0.002421084,0.0,0.0,0.0,0,0.0
"Kings Infra Ventures Ltd","KINGSINFR","Real Estate",231.4680772,97.9,78.19867473,34.16288663,0.0,41.12,4.04,1.08,0.0,0.0,0.0,0.0,0.0,0,0.0
"Filatex Fashions Ltd","FILATFASH","",230.7754863,24.6,79.57775389,24.77657511,0.0,115.66,4.02,1.12,0.0,0.723031854,0.0,0.028429613,0.0,0,0.0
"Ruchi Infrastructure Ltd","RUCHINFRA","Agro Products",230.7677355,11.0,6.210111289,-9.82690222,0.0,191.55,51.32,14.16,0.0,0.000224128,0.0,0.0,0.0,0,0.0
"Cochin Minerals and Rutile Ltd","COCHINM","Diversified Chemicals",230.2316962,293.35,37.07434721,14.18863035,0.0,290.2,7.55,1.34,0.0,0.0,0.0,0.868454662,0.0,0,0.0
"GP Petroleums Ltd","GULFPETRO","Commodity Chemicals",229.0485499,45.05,12.09337645,7.850798056,0.0,717.74,26.37,7.43,0.0,0.720875645,0.0,-9.408357457,0.0,0,0.0
"Galactico Corporate Services Ltd","GALACTICO","Diversified Financials",228.6058774,16.1,55.48686343,110.6928801,0.0,21.59,3.78,-0.34,0.0,0.0,0.0,-0.704644405,0.0,0,0.0
"Annapurna Swadisht Ltd","ANNAPURNA","FMCG - Foods",228.3041786,142.05,407.6860333,0.0,0.0,11.83,0.74,0.18,-29.17748414,4.554865424,0.0,-18.52072557,0.0,0,0.0
"Precot Ltd","PRECOT","Textiles",227.7544617,195.7,2.16085827,7.254350586,0.0,999.77,133.73,28.33,0.0,-0.068841667,0.0,0.0,0.0,0,0.0
"U Y Fincorp Ltd","UYFINCORP","Diversified Financials",227.5898322,11.99,27.75485759,17.11177951,0.0,89.88,9.24,1.04,0.0,0.0,0.0,0.327958621,0.0,0,0.0
